nohup: ignoring input
2009-12-26: 1.80 in
2010-02-06: 1.85 in
2011-01-26: 1.57 in
2011-12-07: 2.04 in
2014-02-05: 1.43 in
2015-01-18: 1.84 in
2015-12-23: 1.55 in
2016-02-24: 1.91 in
2018-01-12: 1.42 in
2018-02-11: 1.68 in
2018-12-28: 1.67 in
2020-01-25: 1.60 in
2022-12-15: 1.90 in
2023-12-10: 1.66 in
2023-12-18: 2.19 in
2023-12-27: 1.48 in
2024-01-09: 2.09 in

Station USC00306196 with lat 42.074 and lon -78.452
1960-01-13: 1.52 in
1961-02-04: 1.19 in
1961-02-26: 1.80 in
1962-02-24: 0.86 in
1962-12-07: 1.05 in
1966-01-23: 1.01 in
1966-02-14: 0.93 in
1968-12-04: 0.92 in
1968-12-28: 0.89 in
1969-12-11: 1.24 in
1970-02-03: 0.94 in
1971-12-31: 0.95 in
1972-02-14: 0.92 in
1973-12-21: 0.90 in
1975-12-10: 1.90 in
1977-12-14: 0.97 in
1978-01-09: 0.96 in
1978-01-26: 0.86 in
1978-12-25: 2.11 in
1979-01-25: 1.57 in
1981-02-02: 1.03 in
1982-02-01: 0.87 in
1986-12-03: 1.30 in
1986-12-25: 0.93 in
1990-02-16: 0.96 in
1990-12-30: 0.95 in
1991-12-03: 1.13 in
1992-12-31: 1.03 in
1997-02-27: 1.27 in
1998-01-08: 1.76 in
1998-01-09: 0.98 in
1998-12-02: 2.00 in
1998-12-04: 2.00 in
1998-12-11: 2.00 in
1998-12-22: 1.24 in
1999-12-15: 0.88 in
2007-01-06: 1.55 in
2007-12-12: 0.89 in
2008-02-06: 1.11 in
2010-01-25: 1.67 in
2010-12-01: 3.14 in
2011-02-28: 1.23 in
2013-02-27: 0.95 in
2013-12-22: 1.15 in
2015-12-27: 0.87 in
2016-02-16: 0.94 in
2016-12-18: 0.86 in
2018-01-12: 1.64 in
2018-01-13: 1.12 in
2019-01-01: 0.92 in
2019-01-20: 0.93 in
2019-01-24: 1.03 in
2020-02-27: 1.31 in
2020-12-25: 1.60 in
2022-01-17: 0.87 in
2022-02-04: 0.87 in
2022-02-18: 1.67 in
2023-02-23: 1.10 in

Station USC00368379 with lat 39.870 and lon -76.863
1960-02-19: 1.79 in
1961-01-20: 1.33 in
1962-01-07: 1.42 in
1964-02-19: 1.60 in
1965-02-08: 1.58 in
1967-01-28: 1.29 in
1967-12-29: 1.34 in
1969-12-26: 1.28 in
1973-12-09: 1.31 in
1973-12-21: 1.39 in
1974-12-02: 1.38 in
1976-01-01: 1.56 in
1978-01-26: 1.68 in
1979-01-21: 1.75 in
1983-12-13: 1.57 in
1983-12-14: 1.37 in
1984-02-24: 1.80 in
1986-01-26: 1.30 in
1986-12-03: 1.32 in
1986-12-25: 1.86 in
1990-01-30: 1.62 in
1990-12-04: 1.79 in
1991-12-03: 1.45 in
1993-02-13: 1.40 in
1993-12-05: 3.10 in
1994-01-18: 1.64 in
1995-01-20: 2.07 in
1996-01-08: 1.32 in
1996-12-14: 1.49 in
1998-02-18: 1.34 in
1998-02-24: 1.52 in
1999-01-03: 1.51 in
2000-12-14: 1.35 in
2000-12-17: 1.92 in
2002-12-12: 1.67 in
2003-01-02: 1.31 in
2003-02-17: 2.32 in
2003-12-11: 1.43 in
2004-02-07: 1.35 in
2005-01-14: 1.96 in
2006-12-23: 1.31 in
2007-02-14: 2.21 in
2007-12-16: 1.33 in
2008-02-02: 1.60 in
2008-12-11: 2.27 in
2009-12-09: 1.50 in
2010-02-06: 1.44 in
2012-12-21: 1.27 in
2013-01-31: 2.01 in
2013-12-07: 1.53 in
2016-01-24: 1.31 in
2018-12-16: 1.45 in
2019-01-20: 1.61 in
2022-12-16: 1.71 in
2023-12-11: 1.73 in
2023-12-18: 2.53 in
2024-01-10: 1.60 in

Station USW00014778 with lat 41.243 and lon -76.922
1962-12-06: 1.72 in
1964-01-13: 1.31 in
1966-02-13: 2.05 in
1969-12-10: 1.37 in
1969-12-26: 1.52 in
1971-02-13: 2.72 in
1971-12-06: 1.30 in
1972-02-03: 1.24 in
1972-02-19: 1.87 in
1973-02-02: 1.47 in
1973-12-05: 1.82 in
1973-12-09: 1.42 in
1973-12-20: 1.36 in
1974-12-16: 1.55 in
1975-02-24: 1.76 in
1976-01-27: 1.24 in
1976-12-07: 1.37 in
1978-01-08: 1.94 in
1979-01-24: 1.95 in
1981-02-11: 2.21 in
1981-02-23: 2.18 in
1983-12-13: 3.29 in
1984-02-14: 2.15 in
1990-12-03: 1.54 in
1991-12-03: 1.23 in
1994-12-05: 1.34 in
1995-01-15: 1.35 in
1995-01-20: 2.52 in
1996-01-19: 2.62 in
1996-01-27: 1.69 in
1996-12-01: 2.21 in
1996-12-13: 1.84 in
1998-01-08: 1.78 in
1998-02-18: 1.49 in
1999-12-14: 1.37 in
2000-12-16: 1.21 in
2003-12-11: 1.58 in
2004-12-23: 1.34 in
2006-01-18: 1.77 in
2007-12-23: 1.35 in
2008-01-11: 1.29 in
2008-02-01: 1.41 in
2010-01-25: 2.90 in
2010-12-01: 2.91 in
2011-12-07: 1.55 in
2012-12-21: 1.22 in
2016-01-10: 1.75 in
2016-02-16: 1.65 in
2018-01-12: 2.37 in
2018-12-16: 1.30 in
2018-12-21: 1.97 in
2020-12-16: 1.33 in
2020-12-24: 2.21 in
2022-02-03: 1.62 in
2022-12-15: 1.35 in
2022-12-22: 1.35 in
2023-12-18: 1.41 in
2024-01-09: 2.06 in
2024-12-11: 1.23 in

Station USW00014777 with lat 41.333 and lon -75.723
1960-01-03: 1.31 in
1962-01-06: 1.09 in
1962-02-24: 1.24 in
1962-12-06: 1.19 in
1963-12-08: 1.35 in
1964-12-27: 1.38 in
1971-02-13: 1.29 in
1973-12-21: 1.57 in
1974-12-08: 1.28 in
1975-02-24: 1.25 in
1976-01-27: 1.05 in
1976-12-07: 1.04 in
1978-01-09: 1.11 in
1979-01-07: 1.13 in
1979-01-21: 1.37 in
1979-01-24: 1.11 in
1981-02-01: 1.18 in
1981-02-02: 1.74 in
1981-02-11: 2.86 in
1983-12-12: 1.71 in
1983-12-13: 2.16 in
1984-02-15: 1.10 in
1985-02-12: 1.08 in
1990-01-29: 1.36 in
1994-01-17: 1.05 in
1996-01-19: 2.06 in
1996-01-27: 1.09 in
1996-12-01: 1.25 in
2000-12-17: 1.47 in
2002-12-11: 1.29 in
2003-12-11: 1.41 in
2004-02-03: 1.10 in
2004-12-23: 1.24 in
2005-01-14: 1.38 in
2006-01-18: 1.33 in
2007-02-14: 2.44 in
2008-01-11: 1.05 in
2008-02-01: 1.05 in
2008-02-13: 1.25 in
2008-12-11: 1.49 in
2010-01-25: 1.23 in
2010-12-01: 1.58 in
2011-02-25: 1.06 in
2011-12-07: 1.32 in
2012-12-21: 1.32 in
2016-01-10: 1.25 in
2016-02-16: 1.35 in
2016-02-24: 1.21 in
2017-02-25: 1.44 in
2018-12-16: 1.13 in
2019-01-24: 1.33 in
2020-01-25: 1.25 in
2020-12-24: 1.31 in
2022-02-03: 1.26 in
2023-12-10: 1.18 in
2023-12-18: 2.16 in
2024-01-09: 1.55 in
2024-12-11: 1.56 in

Station USW00014742 with lat 44.468 and lon -73.150
1961-02-25: 0.88 in
1966-02-13: 0.84 in
1966-02-25: 1.08 in
1967-12-12: 1.08 in
1968-12-28: 0.93 in
1969-12-26: 0.86 in
1969-12-27: 1.57 in
1970-12-04: 0.84 in
1973-01-20: 0.95 in
1973-12-21: 1.68 in
1976-01-27: 1.05 in
1976-12-07: 1.09 in
1977-12-14: 1.31 in
1978-01-09: 1.27 in
1979-01-21: 0.92 in
1981-02-02: 1.75 in
1981-02-24: 1.15 in
1981-02-25: 0.92 in
1982-01-04: 1.03 in
1983-01-11: 0.99 in
1983-02-03: 0.88 in
1983-12-13: 1.45 in
1984-02-28: 0.92 in
1986-01-26: 1.22 in
1990-02-15: 0.87 in
1994-12-05: 1.01 in
1996-01-19: 1.62 in
1996-01-27: 1.15 in
1996-12-01: 0.85 in
1996-12-02: 1.36 in
1998-01-08: 2.11 in
2000-12-17: 1.26 in
2002-02-01: 1.01 in
2003-12-11: 0.85 in
2003-12-17: 0.95 in
2004-12-23: 0.84 in
2005-01-14: 1.03 in
2006-01-18: 1.61 in
2006-12-01: 1.74 in
2007-02-14: 1.94 in
2007-12-16: 1.03 in
2009-12-27: 0.99 in
2010-01-25: 1.01 in
2010-02-24: 1.44 in
2010-12-13: 1.07 in
2014-01-11: 1.01 in
2015-12-29: 0.95 in
2016-02-24: 1.44 in
2017-01-24: 0.91 in
2017-02-25: 0.89 in
2018-01-12: 1.07 in
2019-01-24: 1.02 in
2020-02-07: 0.89 in
2023-12-10: 0.91 in
2023-12-18: 2.20 in
2024-12-11: 1.74 in

Station USW00094823 with lat 40.485 and lon -80.214
1962-02-23: 1.34 in
1965-02-25: 1.12 in
1966-01-02: 1.23 in
1966-01-22: 1.20 in
1966-02-13: 1.72 in
1971-01-04: 0.99 in
1971-02-13: 0.99 in
1971-02-22: 1.06 in
1971-12-06: 1.23 in
1972-02-13: 1.24 in
1975-01-29: 1.04 in
1975-02-23: 2.29 in
1977-12-05: 1.33 in
1978-01-08: 1.18 in
1978-01-17: 1.12 in
1978-01-20: 1.14 in
1978-12-03: 1.08 in
1978-12-08: 1.51 in
1979-02-25: 1.22 in
1982-01-23: 1.19 in
1986-12-02: 1.43 in
1988-02-02: 1.04 in
1989-02-15: 1.19 in
1990-01-29: 1.03 in
1990-12-03: 1.31 in
1990-12-15: 0.98 in
1990-12-18: 2.05 in
1990-12-30: 2.76 in
1991-12-02: 1.17 in
1996-01-19: 1.17 in
1998-01-07: 1.34 in
1999-01-14: 1.15 in
1999-12-14: 1.25 in
2000-12-16: 1.15 in
2001-12-17: 1.56 in
2003-01-01: 1.22 in
2004-01-04: 1.82 in
2005-01-05: 1.81 in
2006-01-02: 1.33 in
2008-02-01: 1.16 in
2008-12-19: 1.39 in
2008-12-24: 1.15 in
2011-02-21: 1.19 in
2011-02-28: 1.21 in
2016-02-24: 1.01 in
2017-01-03: 0.98 in
2018-01-12: 1.99 in
2018-02-15: 1.79 in
2018-12-15: 1.07 in
2018-12-20: 1.08 in
2020-01-24: 1.04 in
2020-12-24: 1.02 in
2022-02-03: 1.02 in
2022-02-17: 1.60 in
2023-12-27: 1.03 in
2024-01-09: 1.43 in
2024-01-28: 1.03 in

Station USC00374266 with lat 41.490 and lon -71.543
1960-02-19: 1.92 in
1960-02-26: 3.26 in
1962-01-07: 3.93 in
1964-01-21: 1.99 in
1969-12-26: 2.24 in
1970-02-03: 1.88 in
1972-02-19: 2.50 in
1973-12-17: 2.97 in
1976-01-28: 1.87 in
1977-01-10: 1.99 in
1978-01-09: 2.05 in
1978-01-14: 2.48 in
1979-01-08: 2.01 in
1979-01-21: 2.87 in
1981-12-02: 2.21 in
1982-01-04: 1.86 in
1986-01-27: 2.08 in
1986-12-03: 4.28 in
1986-12-19: 2.32 in
1988-02-12: 2.49 in
1988-02-16: 1.89 in
1990-01-30: 1.88 in
1993-02-13: 1.90 in
1993-12-05: 2.60 in
1994-12-24: 3.12 in
1998-01-24: 2.85 in
1998-02-18: 3.12 in
1998-02-24: 1.96 in
1999-02-03: 3.03 in
2003-12-15: 1.92 in
2006-01-03: 2.07 in
2007-01-01: 2.32 in
2007-01-08: 2.21 in
2007-02-14: 1.91 in
2008-02-13: 2.24 in
2008-12-12: 3.53 in
2009-12-03: 1.97 in
2010-01-18: 1.99 in
2010-02-24: 2.58 in
2010-02-26: 2.04 in
2010-12-13: 3.00 in
2011-02-25: 2.07 in
2012-01-12: 1.94 in
2014-12-09: 2.58 in
2015-12-24: 2.40 in
2017-01-24: 1.92 in
2018-01-13: 3.28 in
2019-01-20: 2.58 in
2020-12-01: 2.84 in
2020-12-05: 2.20 in
2020-12-25: 2.64 in
2022-02-04: 2.10 in
2022-12-07: 1.90 in
2022-12-23: 2.06 in
2023-01-26: 2.22 in
2023-12-18: 2.79 in
2024-01-10: 3.50 in
2024-12-11: 2.18 in
2024-12-12: 2.36 in

Station USW00014737 with lat 40.650 and lon -75.448
1962-01-06: 1.68 in
1965-02-07: 1.75 in
1966-02-13: 2.05 in
1968-01-14: 1.63 in
1969-12-10: 1.40 in
1971-02-13: 1.55 in
1973-12-09: 1.51 in
1974-12-08: 1.88 in
1975-12-26: 1.39 in
1976-01-26: 1.63 in
1976-01-27: 1.35 in
1976-12-07: 1.54 in
1978-01-25: 1.70 in
1979-01-02: 1.37 in
1979-01-07: 1.48 in
1979-01-21: 1.42 in
1979-01-24: 1.51 in
1982-01-04: 1.55 in
1982-02-03: 1.37 in
1983-01-23: 1.39 in
1983-02-11: 1.40 in
1983-12-12: 2.10 in
1983-12-13: 1.47 in
1983-12-22: 1.36 in
1984-02-15: 1.41 in
1986-01-19: 1.44 in
1990-01-29: 1.66 in
1990-12-03: 1.49 in
1993-12-05: 1.96 in
1994-01-17: 1.42 in
1994-01-28: 1.55 in
1996-01-19: 1.93 in
1996-12-13: 1.48 in
1999-01-03: 1.71 in
2000-12-17: 2.16 in
2002-12-11: 1.41 in
2002-12-25: 1.50 in
2004-02-06: 1.71 in
2008-02-13: 2.94 in
2008-12-11: 1.78 in
2008-12-24: 1.48 in
2010-01-25: 1.42 in
2010-02-10: 1.40 in
2010-12-01: 1.49 in
2011-12-07: 1.72 in
2012-12-21: 1.44 in
2013-01-31: 1.63 in
2014-01-11: 1.40 in
2016-01-23: 1.65 in
2016-02-24: 2.77 in
2019-01-24: 1.90 in
2020-01-25: 1.40 in
2020-12-24: 1.53 in
2021-02-01: 2.00 in
2023-12-10: 1.59 in
2023-12-18: 1.98 in
2023-12-27: 2.05 in
2024-01-09: 2.20 in

Station USW00094702 with lat 41.164 and lon -73.127
1962-01-06: 2.19 in
1966-02-13: 2.05 in
1968-12-04: 3.69 in
1969-02-09: 2.17 in
1969-12-08: 1.42 in
1969-12-26: 1.74 in
1970-02-03: 1.81 in
1970-02-10: 1.95 in
1971-01-04: 1.49 in
1971-02-27: 1.60 in
1972-02-03: 2.30 in
1972-02-19: 1.90 in
1972-12-06: 1.67 in
1973-01-29: 1.40 in
1973-02-02: 2.27 in
1973-12-21: 1.49 in
1974-12-02: 2.47 in
1976-01-27: 1.75 in
1977-01-10: 1.45 in
1978-01-20: 1.62 in
1978-01-25: 1.43 in
1978-01-26: 1.41 in
1978-12-09: 1.45 in
1979-01-21: 4.30 in
1979-01-24: 2.05 in
1982-01-04: 2.80 in
1984-02-28: 2.05 in
1987-01-02: 1.39 in
1992-12-11: 1.49 in
1993-12-05: 2.38 in
1994-01-28: 1.42 in
1996-12-07: 1.73 in
1998-01-23: 2.48 in
1999-01-03: 2.73 in
2003-02-22: 1.45 in
2004-02-06: 1.52 in
2006-01-14: 1.59 in
2007-01-01: 2.17 in
2008-02-01: 1.79 in
2008-02-13: 1.86 in
2008-12-11: 1.64 in
2008-12-12: 1.90 in
2010-02-25: 2.36 in
2010-12-12: 2.10 in
2011-02-25: 1.52 in
2011-12-07: 1.68 in
2013-02-08: 1.73 in
2014-12-09: 2.13 in
2018-02-11: 1.53 in
2018-12-21: 1.82 in
2019-01-24: 1.44 in
2019-12-09: 1.67 in
2019-12-14: 1.82 in
2020-12-05: 1.42 in
2023-12-10: 2.75 in
2023-12-18: 1.87 in
2023-12-28: 1.49 in

Station USW00014740 with lat 41.937 and lon -72.682
1960-02-11: 1.80 in
1961-02-25: 1.50 in
1962-01-06: 2.18 in
1965-02-25: 2.16 in
1966-02-13: 1.69 in
1966-02-25: 1.78 in
1967-12-03: 1.60 in
1967-12-12: 1.54 in
1967-12-28: 1.58 in
1968-12-04: 2.09 in
1969-02-09: 1.46 in
1969-12-26: 2.02 in
1970-02-03: 1.86 in
1972-02-03: 1.52 in
1973-02-02: 1.90 in
1973-12-21: 2.96 in
1976-01-27: 2.20 in
1976-12-07: 1.80 in
1977-12-21: 1.48 in
1978-01-09: 1.51 in
1979-01-21: 2.17 in
1981-02-20: 1.73 in
1981-02-24: 1.85 in
1982-01-04: 1.86 in
1986-01-26: 2.00 in
1986-12-18: 1.95 in
1987-01-02: 1.74 in
1987-01-22: 1.55 in
1988-02-12: 1.82 in
1990-12-04: 1.97 in
1993-12-05: 1.72 in
1994-12-05: 1.55 in
1994-12-24: 1.76 in
1995-02-04: 1.73 in
1996-12-02: 1.57 in
2000-12-17: 1.92 in
2001-02-05: 1.63 in
2008-02-01: 1.76 in
2008-02-13: 2.53 in
2008-12-11: 1.64 in
2008-12-12: 1.72 in
2010-01-25: 1.51 in
2010-02-25: 1.52 in
2010-12-12: 3.34 in
2011-12-07: 2.05 in
2014-12-09: 1.77 in
2016-01-10: 1.46 in
2018-01-12: 1.64 in
2018-12-21: 2.22 in
2019-01-24: 2.45 in
2019-12-30: 1.81 in
2020-12-05: 1.67 in
2020-12-25: 2.12 in
2021-01-16: 1.62 in
2023-12-10: 1.47 in
2023-12-18: 2.17 in
2023-12-28: 1.70 in
2024-01-09: 1.74 in
2024-01-10: 1.49 in

Station USC00304174 with lat 42.449 and lon -76.449
1960-01-13: 0.90 in
1960-02-19: 1.01 in
1961-02-04: 1.26 in
1961-02-26: 1.08 in
1962-01-16: 0.87 in
1962-02-24: 0.89 in
1963-12-09: 1.11 in
1966-02-14: 1.18 in
1968-12-28: 1.10 in
1969-12-11: 0.86 in
1969-12-27: 0.95 in
1971-02-14: 1.60 in
1972-02-20: 1.30 in
1973-12-21: 0.86 in
1974-12-17: 0.94 in
1975-02-25: 1.03 in
1977-02-25: 0.97 in
1978-01-09: 1.52 in
1978-01-18: 1.06 in
1978-01-26: 0.91 in
1978-12-25: 1.21 in
1979-01-25: 1.05 in
1979-02-26: 0.86 in
1983-12-13: 1.57 in
1983-12-14: 1.87 in
1984-02-15: 1.52 in
1987-01-03: 1.11 in
1990-01-30: 0.87 in
1990-12-04: 1.20 in
1990-12-24: 0.91 in
1994-01-05: 1.07 in
1995-02-28: 1.03 in
1996-01-20: 1.87 in
1996-12-02: 1.30 in
1996-12-14: 0.91 in
1997-12-30: 1.47 in
1998-01-08: 1.04 in
1998-02-18: 0.88 in
2000-02-28: 0.87 in
2002-12-12: 0.87 in
2002-12-26: 0.88 in
2005-01-14: 0.91 in
2008-02-06: 1.18 in
2008-12-12: 0.90 in
2010-02-26: 1.03 in
2010-12-02: 1.72 in
2012-12-18: 1.10 in
2012-12-21: 1.07 in
2016-02-17: 1.50 in
2017-01-24: 0.91 in
2018-01-13: 0.94 in
2018-12-22: 0.95 in
2019-01-20: 1.04 in
2020-01-26: 1.29 in
2020-12-17: 1.20 in
2020-12-25: 1.45 in
2022-02-04: 1.12 in
2023-12-11: 0.92 in
2023-12-18: 1.55 in

Locations with extreme precip on 19620106:
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 38.341 and lon -75.513
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 39.873 and lon -75.227
lat 41.333 and lon -75.723
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19660213:
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 39.173 and lon -76.684
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.207 and lon -75.980
lat 43.117 and lon -77.675
lat 39.873 and lon -75.227
lat 41.243 and lon -76.922
lat 44.468 and lon -73.150
lat 40.485 and lon -80.214
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19681204:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.074 and lon -78.452
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19691226:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 42.361 and lon -71.010
lat 38.341 and lon -75.513
lat 39.674 and lon -75.606
lat 42.747 and lon -73.799
lat 39.870 and lon -76.863
lat 41.243 and lon -76.922
lat 44.468 and lon -73.150
lat 41.490 and lon -71.543
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19720219:
lat 42.361 and lon -71.010
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.207 and lon -75.980
lat 43.117 and lon -77.675
lat 39.873 and lon -75.227
lat 41.243 and lon -76.922
lat 41.490 and lon -71.543
lat 41.164 and lon -73.127

Locations with extreme precip on 19730202:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 38.341 and lon -75.513
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 39.873 and lon -75.227
lat 41.243 and lon -76.922
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19731221:
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.747 and lon -73.799
lat 44.933 and lon -74.848
lat 42.074 and lon -78.452
lat 39.870 and lon -76.863
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682
lat 42.449 and lon -76.449

Locations with extreme precip on 19760127:
lat 40.683 and lon -74.169
lat 38.341 and lon -75.513
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.207 and lon -75.980
lat 42.747 and lon -73.799
lat 39.873 and lon -75.227
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19790121:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 38.341 and lon -75.513
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.747 and lon -73.799
lat 39.870 and lon -76.863
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 41.490 and lon -71.543
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19820104:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 39.873 and lon -75.227
lat 44.468 and lon -73.150
lat 41.490 and lon -71.543
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 19831213:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 40.683 and lon -74.169
lat 40.779 and lon -73.969
lat 42.207 and lon -75.980
lat 42.747 and lon -73.799
lat 39.870 and lon -76.863
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 40.650 and lon -75.448
lat 42.449 and lon -76.449

Locations with extreme precip on 19860126:
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 38.341 and lon -75.513
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.747 and lon -73.799
lat 39.870 and lon -76.863
lat 44.468 and lon -73.150
lat 41.937 and lon -72.682

Locations with extreme precip on 19990103:
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 39.173 and lon -76.684
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 44.933 and lon -74.848
lat 39.873 and lon -75.227
lat 39.870 and lon -76.863
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127

Locations with extreme precip on 20001217:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 42.361 and lon -71.010
lat 39.674 and lon -75.606
lat 42.747 and lon -73.799
lat 39.870 and lon -76.863
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 40.650 and lon -75.448
lat 41.937 and lon -72.682

Locations with extreme precip on 20080201:
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 39.173 and lon -76.684
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.207 and lon -75.980
lat 43.117 and lon -77.675
lat 39.873 and lon -75.227
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 40.485 and lon -80.214
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 20080213:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 38.341 and lon -75.513
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 41.333 and lon -75.723
lat 41.490 and lon -71.543
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 20081211:
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 38.341 and lon -75.513
lat 39.173 and lon -76.684
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 39.873 and lon -75.227
lat 39.870 and lon -76.863
lat 41.333 and lon -75.723
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 20100125:
lat 38.341 and lon -75.513
lat 42.207 and lon -75.980
lat 42.747 and lon -73.799
lat 42.940 and lon -78.736
lat 42.074 and lon -78.452
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 40.650 and lon -75.448
lat 41.937 and lon -72.682

Locations with extreme precip on 20111207:
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 39.173 and lon -76.684
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.747 and lon -73.799
lat 39.873 and lon -75.227
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 20141209:
lat 43.642 and lon -70.304
lat 39.452 and lon -74.567
lat 42.361 and lon -71.010
lat 38.341 and lon -75.513
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.747 and lon -73.799
lat 41.490 and lon -71.543
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 20160224:
lat 39.173 and lon -76.684
lat 40.779 and lon -73.880
lat 42.747 and lon -73.799
lat 43.117 and lon -77.675
lat 44.933 and lon -74.848
lat 39.873 and lon -75.227
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 40.485 and lon -80.214
lat 40.650 and lon -75.448

Locations with extreme precip on 20180112:
lat 42.207 and lon -75.980
lat 42.940 and lon -78.736
lat 43.117 and lon -77.675
lat 44.933 and lon -74.848
lat 39.873 and lon -75.227
lat 42.074 and lon -78.452
lat 41.243 and lon -76.922
lat 44.468 and lon -73.150
lat 40.485 and lon -80.214
lat 41.937 and lon -72.682

Locations with extreme precip on 20190124:
lat 43.642 and lon -70.304
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 46.870 and lon -68.017
lat 40.779 and lon -73.880
lat 42.207 and lon -75.980
lat 42.747 and lon -73.799
lat 42.074 and lon -78.452
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
